date,value
1929-09-03,381.1700
1929-09-04,379.6100
1929-09-05,369.7700
1929-09-06,376.2900
1929-09-07,377.5600
1929-09-09,374.9300
1929-09-10,367.2900
1929-09-11,370.9100
1929-09-12,366.3500
1929-09-13,366.8500
1929-09-14,367.0100
1929-09-16,372.3900
1929-09-17,368.5200
1929-09-18,370.9000
1929-09-19,369.9700
1929-09-20,362.0500
1929-09-21,361.1600
1929-09-23,359.0000
1929-09-24,352.6100
1929-09-25,352.5700
1929-09-26,355.9500
1929-09-27,344.8700
1929-09-28,347.1700
1929-09-30,343.4500
1929-10-01,342.5700
1929-10-02,344.5000
1929-10-03,329.9500
1929-10-04,325.1700
1929-10-05,341.3600
1929-10-07,345.7200
1929-10-08,345.0000
1929-10-09,346.6600
1929-10-10,352.8600
1929-10-11,352.6900
1929-10-14,350.9700
1929-10-15,347.2400
1929-10-16,336.1300
1929-10-17,341.8600
1929-10-18,333.2900
1929-10-19,323.8700
1929-10-21,320.9100
1929-10-22,326.5100
1929-10-23,305.8500
1929-10-24,299.4700
1929-10-25,301.2200
1929-10-26,298.9700
1929-10-28,260.6400
1929-10-29,230.0700
1929-10-30,258.4700
1929-10-31,273.5100
1929-11-04,257.6800
1929-11-06,232.1300
1929-11-07,238.1900
1929-11-08,236.5300
1929-11-11,220.3900
1929-11-12,209.7400
1929-11-13,198.6900
1929-11-14,217.2800
1929-11-15,228.7300
1929-11-18,227.5600
1929-11-19,234.0200
1929-11-20,241.2300
1929-11-21,248.4900
1929-11-22,245.7400
1929-11-25,243.4400
1929-11-26,235.3500
1929-11-27,238.9500
1929-12-02,241.7000
1929-12-03,249.6100
1929-12-04,254.6400
1929-12-05,251.5100
1929-12-06,260.1200
1929-12-07,263.4600
1929-12-09,259.1800
1929-12-10,262.2000
1929-12-11,258.4400
1929-12-12,243.1400
1929-12-13,249.6000
1929-12-14,253.0200
1929-12-16,245.8800
1929-12-17,249.5800
1929-12-18,246.8400
1929-12-19,240.4200
1929-12-20,230.8900
1929-12-21,235.4200
1929-12-23,232.6500
1929-12-24,234.0700
1929-12-26,240.9600
1929-12-27,240.6600
1929-12-28,238.4300
1929-12-30,241.0600
1929-12-31,248.4800
1930-01-02,244.2000
1930-01-03,247.1900
1930-01-04,248.8500
1930-01-06,248.1000
1930-01-07,246.5000
1930-01-08,245.7000
1930-01-09,249.6800
1930-01-10,250.0300
1930-01-11,248.7100
1930-01-13,249.6200
1930-01-14,250.4400
1930-01-15,251.5400
1930-01-16,248.9900
1930-01-17,246.3300
1930-01-18,246.8400
1930-01-20,247.3100
1930-01-21,249.5800
1930-01-22,250.1900
1930-01-23,253.5200
1930-01-24,256.3100
1930-01-25,259.0600
1930-01-27,260.9300
1930-01-28,257.9000
1930-01-29,262.1800
1930-01-30,263.2800
1930-01-31,267.1400
1930-02-01,268.4100
1930-02-03,266.5400
1930-02-04,268.4800
1930-02-05,272.0600
1930-02-06,268.5600
1930-02-07,267.8200
1930-02-08,269.7800
1930-02-10,268.5600
1930-02-11,271.0500
1930-02-13,272.2700
1930-02-14,271.5200
1930-02-15,269.2500
1930-02-17,270.5400
1930-02-18,270.7300
1930-02-19,268.4600
1930-02-20,263.4100
1930-02-21,265.8100
1930-02-24,262.4700
1930-02-25,262.8000
1930-02-26,269.0600
1930-02-27,269.3900
1930-02-28,271.1100
1930-03-01,273.2400
1930-03-03,271.1100
1930-03-04,273.5100
1930-03-05,270.5900
1930-03-06,274.5100
1930-03-07,275.5700
1930-03-08,275.4600
1930-03-10,276.8500
1930-03-11,276.2500
1930-03-12,272.1300
1930-03-13,273.4700
1930-03-14,271.3400
1930-03-15,270.2500
1930-03-17,274.2600
1930-03-18,277.2700
1930-03-19,277.8800
1930-03-20,279.4100
1930-03-21,280.5500
1930-03-22,276.4300
1930-03-24,279.1100
1930-03-25,280.5000
1930-03-26,283.2200
1930-03-27,281.6300
1930-03-28,283.8500
1930-03-29,286.1900
1930-03-31,286.1000
1930-04-01,287.1100
1930-04-02,285.2700
1930-04-03,285.7700
1930-04-04,288.3500
1930-04-05,289.9600
1930-04-07,290.1900
1930-04-08,288.3600
1930-04-09,291.1500
1930-04-10,292.1900
1930-04-11,292.6500
1930-04-12,293.4300
1930-04-14,293.1800
1930-04-15,293.2600
1930-04-16,292.2000
1930-04-17,294.0700
1930-04-21,288.2300
1930-04-22,290.0100
1930-04-23,288.7800
1930-04-24,286.1800
1930-04-25,285.7600
1930-04-26,285.4600
1930-04-28,276.9400
1930-04-29,278.4300
1930-04-30,279.2300
1930-05-01,274.5900
1930-05-02,266.5600
1930-05-03,258.3100
1930-05-05,259.6800
1930-05-06,268.8100
1930-05-07,263.6900
1930-05-08,263.9300
1930-05-09,267.2900
1930-05-10,272.0100
1930-05-12,270.1600
1930-05-13,274.1700
1930-05-14,274.4000
1930-05-15,269.9100
1930-05-16,271.5200
1930-05-17,272.4100
1930-05-19,265.8700
1930-05-20,267.1000
1930-05-21,265.5200
1930-05-22,266.8900
1930-05-23,270.0100
1930-05-24,271.3300
1930-05-26,272.1400
1930-05-27,272.4300
1930-05-28,273.8400
1930-05-29,275.0700
1930-06-02,274.4500
1930-06-03,271.1800
1930-06-04,272.4400
1930-06-05,268.5900
1930-06-06,263.9300
1930-06-07,257.8200
1930-06-09,250.7800
1930-06-10,257.2900
1930-06-11,249.0800
1930-06-12,247.1800
1930-06-13,249.6900
1930-06-14,244.2500
1930-06-16,230.0500
1930-06-17,228.5700
1930-06-18,218.8400
1930-06-19,228.9700
1930-06-20,221.9200
1930-06-21,215.3000
1930-06-23,219.5800
1930-06-24,211.8400
1930-06-25,215.5800
1930-06-26,220.5800
1930-06-27,218.7800
1930-06-28,219.1200
1930-06-30,226.3400
1930-07-01,223.0300
1930-07-02,225.2500
1930-07-03,222.4600
1930-07-07,218.3300
1930-07-08,219.0800
1930-07-09,222.0400
1930-07-10,227.3900
1930-07-11,224.8600
1930-07-12,229.2300
1930-07-14,234.2100
1930-07-15,233.7900
1930-07-16,235.6300
1930-07-17,239.0700
1930-07-18,240.5700
1930-07-19,236.6500
1930-07-21,229.2900
1930-07-22,234.3000
1930-07-23,239.3300
1930-07-24,235.5100
1930-07-25,237.4800
1930-07-26,240.3100
1930-07-28,240.8100
1930-07-29,238.4000
1930-07-30,231.0800
1930-07-31,233.9900
1930-08-01,233.5700
1930-08-02,234.5000
1930-08-04,238.1600
1930-08-05,238.4700
1930-08-06,234.3800
1930-08-07,232.6900
1930-08-08,222.8200
1930-08-09,222.5900
1930-08-11,224.1300
1930-08-12,217.2400
1930-08-13,220.3500
1930-08-14,221.0800
1930-08-15,228.5500
1930-08-16,228.0200
1930-08-18,227.7900
1930-08-19,230.6800
1930-08-20,232.9800
1930-08-21,231.2700
1930-08-22,232.6300
1930-08-23,234.4200
1930-08-25,231.5200
1930-08-26,235.4700
1930-08-27,237.9300
1930-08-28,237.7900
1930-08-29,240.4200
1930-09-02,240.4200
1930-09-03,237.5400
1930-09-04,236.0400
1930-09-05,240.3700
1930-09-06,243.6400
1930-09-08,242.8400
1930-09-09,244.2900
1930-09-10,245.0900
1930-09-11,242.8800
1930-09-12,241.1700
1930-09-13,240.3400
1930-09-15,236.6200
1930-09-16,237.2200
1930-09-17,237.7400
1930-09-18,234.1800
1930-09-19,229.0200
1930-09-20,229.8500
1930-09-22,222.7800
1930-09-23,226.7500
1930-09-24,222.1000
1930-09-25,217.7500
1930-09-26,213.2700
1930-09-27,212.5200
1930-09-29,208.1400
1930-09-30,204.9000
1930-10-01,214.1400
1930-10-02,211.0400
1930-10-03,214.1800
1930-10-04,211.1000
1930-10-06,202.7600
1930-10-07,203.6200
1930-10-08,200.5600
1930-10-09,192.0000
1930-10-10,198.5000
1930-10-11,193.0500
1930-10-14,196.7000
1930-10-15,200.2600
1930-10-16,196.6200
1930-10-17,187.3700
1930-10-18,185.2900
1930-10-20,193.3200
1930-10-21,186.4000
1930-10-22,184.9800
1930-10-23,188.1000
1930-10-24,195.0900
1930-10-25,193.3400
1930-10-27,195.0900
1930-10-28,194.9500
1930-10-29,190.7300
1930-10-30,188.0700
1930-10-31,183.3500
1930-11-01,184.8900
1930-11-03,185.3900
1930-11-05,179.8100
1930-11-06,180.7200
1930-11-07,174.3800
1930-11-08,173.1400
1930-11-10,171.6000
1930-11-11,173.3000
1930-11-12,177.3300
1930-11-13,180.3800
1930-11-14,184.0300
1930-11-15,186.6800
1930-11-17,180.5000
1930-11-18,183.4200
1930-11-19,187.5700
1930-11-20,187.0900
1930-11-21,190.3000
1930-11-22,188.0400
1930-11-24,188.2700
1930-11-25,185.4700
1930-11-26,183.1100
1930-11-28,180.9100
1930-11-29,183.3900
1930-12-01,185.4800
1930-12-02,186.8200
1930-12-03,184.1100
1930-12-04,180.9900
1930-12-05,181.1100
1930-12-06,178.3700
1930-12-08,176.0900
1930-12-09,176.5000
1930-12-10,173.9800
1930-12-11,170.3100
1930-12-12,168.6800
1930-12-13,163.3400
1930-12-15,163.3400
1930-12-16,157.5100
1930-12-17,165.6000
1930-12-18,166.7100
1930-12-19,168.9900
1930-12-20,169.4200
1930-12-22,162.4200
1930-12-23,162.9300
1930-12-24,165.2000
1930-12-26,161.1800
1930-12-27,160.3000
1930-12-29,160.1600
1930-12-30,163.0900
1930-12-31,164.5800
1931-01-02,169.8400
1931-01-03,172.1200
1931-01-05,170.7100
1931-01-06,172.6600
1931-01-07,171.8600
1931-01-08,173.0400
1931-01-09,170.1800
1931-01-10,171.7100
1931-01-12,167.9900
1931-01-13,165.9500
1931-01-14,167.4600
1931-01-15,162.8200
1931-01-16,164.9400
1931-01-17,162.8900
1931-01-19,161.4500
1931-01-20,165.8200
1931-01-21,164.7600
1931-01-22,168.4600
1931-01-23,171.8400
1931-01-24,169.8000
1931-01-26,171.1900
1931-01-27,170.8200
1931-01-28,166.8400
1931-01-29,168.8700
1931-01-30,169.3400
1931-01-31,167.5500
1931-02-02,168.7100
1931-02-03,169.7100
1931-02-04,171.1300
1931-02-05,169.3800
1931-02-06,169.8800
1931-02-07,172.9000
1931-02-09,177.7200
1931-02-10,181.2000
1931-02-11,181.8800
1931-02-13,180.9900
1931-02-14,180.4100
1931-02-16,182.8800
1931-02-17,179.5500
1931-02-18,181.1000
1931-02-19,184.4600
1931-02-20,188.2200
1931-02-21,191.3200
1931-02-24,194.3600
1931-02-25,190.7200
1931-02-26,192.2300
1931-02-27,190.3400
1931-02-28,189.6600
1931-03-02,184.3800
1931-03-03,183.7600
1931-03-04,180.9600
1931-03-05,184.6900
1931-03-06,179.7300
1931-03-07,183.8500
1931-03-09,185.3800
1931-03-10,183.6300
1931-03-11,181.9100
1931-03-12,180.1400
1931-03-13,178.9100
1931-03-14,180.7600
1931-03-16,183.6100
1931-03-17,180.6100
1931-03-18,183.9500
1931-03-19,186.5600
1931-03-20,187.7200
1931-03-21,185.2400
1931-03-23,184.3200
1931-03-24,186.0000
1931-03-25,184.2000
1931-03-26,181.7000
1931-03-27,177.3000
1931-03-28,174.0600
1931-03-30,172.5600
1931-03-31,172.3600
1931-04-01,170.8200
1931-04-02,169.8900
1931-04-04,172.4300
1931-04-06,169.7200
1931-04-07,167.0300
1931-04-08,169.5400
1931-04-09,168.7700
1931-04-10,168.7200
1931-04-11,168.0300
1931-04-13,171.0700
1931-04-14,168.4300
1931-04-15,164.6600
1931-04-16,162.5900
1931-04-17,160.2300
1931-04-18,162.3700
1931-04-20,163.4100
1931-04-21,158.8300
1931-04-22,156.3700
1931-04-23,157.4300
1931-04-24,155.7600
1931-04-25,151.9800
1931-04-27,149.7800
1931-04-28,147.9500
1931-04-29,143.6100
1931-04-30,151.1900
1931-05-01,145.5800
1931-05-02,147.4900
1931-05-04,150.5000
1931-05-05,148.9900
1931-05-06,149.7300
1931-05-07,148.8800
1931-05-08,154.4100
1931-05-09,151.3100
1931-05-11,151.5600
1931-05-12,150.2400
1931-05-13,149.6300
1931-05-14,146.6400
1931-05-15,144.4900
1931-05-16,142.9500
1931-05-18,139.5200
1931-05-19,138.8600
1931-05-20,137.7400
1931-05-21,139.5400
1931-05-22,139.4900
1931-05-23,137.9000
1931-05-25,132.8700
1931-05-26,133.1100
1931-05-27,130.7600
1931-05-28,131.8100
1931-05-29,128.4600
1931-06-01,122.7700
1931-06-02,121.7000
1931-06-03,130.3700
1931-06-04,134.7300
1931-06-05,133.3300
1931-06-06,129.9100
1931-06-08,135.9200
1931-06-09,132.9700
1931-06-10,136.8200
1931-06-11,136.5700
1931-06-12,136.9800
1931-06-13,137.0300
1931-06-15,135.2600
1931-06-16,135.4700
1931-06-17,133.6800
1931-06-18,130.5600
1931-06-19,130.3100
1931-06-20,138.9600
1931-06-22,145.8200
1931-06-23,143.8900
1931-06-24,151.6000
1931-06-25,150.3600
1931-06-26,154.0400
1931-06-27,156.9300
1931-06-29,152.6700
1931-06-30,150.1800
1931-07-01,152.6600
1931-07-02,151.4800
1931-07-03,155.2600
1931-07-06,152.8000
1931-07-07,145.9200
1931-07-08,143.8300
1931-07-09,144.9100
1931-07-10,146.9700
1931-07-11,143.8800
1931-07-13,142.4300
1931-07-14,140.8500
1931-07-15,137.8600
1931-07-16,141.9900
1931-07-17,142.6100
1931-07-18,142.4200
1931-07-20,144.4800
1931-07-21,146.7000
1931-07-22,142.5200
1931-07-23,142.6300
1931-07-24,139.0100
1931-07-25,138.2400
1931-07-27,139.6400
1931-07-28,141.5300
1931-07-29,136.1900
1931-07-30,136.9300
1931-07-31,135.3900
1931-08-01,136.6500
1931-08-03,137.5000
1931-08-04,136.5000
1931-08-05,134.1000
1931-08-06,133.7700
