Date,Value
2023-07-01,4453.71
2023-06-01,4345.37
2023-05-01,4146.17
2023-04-01,4121.47
2023-03-01,3968.56
2023-02-01,4079.68
2023-01-01,3960.66
2022-12-01,3912.38
2022-11-01,3917.49
2022-10-01,3726.05
2022-09-01,3850.52
2022-08-01,4158.56
2022-07-01,3911.73
2022-06-01,3898.95
2022-05-01,4040.36
2022-04-01,4391.3
2022-03-01,4391.27
2022-02-01,4435.98
2022-01-01,4573.82
2021-12-01,4674.77
2021-11-01,4667.39
2021-10-01,4460.71
2021-09-01,4445.54
2021-08-01,4454.21
2021-07-01,4363.71
2021-06-01,4238.49
2021-05-01,4167.85
2021-04-01,4141.18
2021-03-01,3910.51
2021-02-01,3883.43
2021-01-01,3793.75
2020-12-01,3695.31
2020-11-01,3548.99
2020-10-01,3418.7
2020-09-01,3365.52
2020-08-01,3391.71
2020-07-01,3207.62
2020-06-01,3104.66
2020-05-01,2919.61
2020-04-01,2761.98
2020-03-01,2652.39
2020-02-01,3277.31
2020-01-01,3278.2
