Date,Value
1909-12-01,10.3
1909-11-01,10.18
1909-10-01,10.23
1909-09-01,10.19
1909-08-01,10.18
1909-07-01,9.94
1909-06-01,9.8
1909-05-01,9.63
1909-04-01,9.32
1909-03-01,8.92
1909-02-01,8.8
1909-01-01,9.06
1908-12-01,9.03
1908-11-01,8.83
1908-10-01,8.27
1908-09-01,8.17
1908-08-01,8.26
1908-07-01,7.92
1908-06-01,7.64
1908-05-01,7.63
1908-04-01,7.24
1908-03-01,6.87
1908-02-01,6.6
1908-01-01,6.85
1907-12-01,6.57
1907-11-01,6.25
1907-10-01,6.64
1907-09-01,7.45
1907-08-01,7.53
1907-07-01,8.14
1907-06-01,7.84
1907-05-01,8.1
1907-04-01,8.39
1907-03-01,8.35
1907-02-01,9.26
1907-01-01,9.56
1906-12-01,9.84
1906-11-01,9.93
1906-10-01,9.73
1906-09-01,10.03
1906-08-01,9.73
1906-07-01,9.06
1906-06-01,9.3
1906-05-01,9.18
1906-04-01,9.43
1906-03-01,9.56
1906-02-01,9.8
1906-01-01,9.87
1905-12-01,9.54
1905-11-01,9.31
1905-10-01,9.36
1905-09-01,9.23
1905-08-01,9.2
1905-07-01,8.87
1905-06-01,8.6
1905-05-01,8.5
1905-04-01,8.94
1905-03-01,9.05
1905-02-01,8.8
1905-01-01,8.43
1904-12-01,8.25
1904-11-01,8.17
1904-10-01,7.75
1904-09-01,7.32
1904-08-01,7.01
1904-07-01,6.78
1904-06-01,6.51
1904-05-01,6.5
1904-04-01,6.64
1904-03-01,6.48
1904-02-01,6.5
1904-01-01,6.68
1903-12-01,6.57
1903-11-01,6.28
1903-10-01,6.26
1903-09-01,6.47
1903-08-01,6.63
1903-07-01,6.85
1903-06-01,7.18
1903-05-01,7.6
1903-04-01,7.75
1903-03-01,8.08
1903-02-01,8.41
1903-01-01,8.46
1902-12-01,8.05
1902-11-01,8.24
1902-10-01,8.57
1902-09-01,8.85
1902-08-01,8.83
1902-07-01,8.6
1902-06-01,8.41
1902-05-01,8.46
1902-04-01,8.48
1902-03-01,8.2
1902-02-01,8.19
1902-01-01,8.12
1901-12-01,7.95
1901-11-01,8.08
1901-10-01,7.91
1901-09-01,8.0
1901-08-01,8.04
1901-07-01,7.93
1901-06-01,8.5
1901-05-01,7.73
1901-04-01,8.14
1901-03-01,7.51
1901-02-01,7.25
1901-01-01,7.07
1900-12-01,6.87
1900-11-01,6.48
1900-10-01,6.01
1900-09-01,5.8
1900-08-01,5.94
1900-07-01,5.86
1900-06-01,5.86
1900-05-01,6.04
1900-04-01,6.34
1900-03-01,6.26
1900-02-01,6.21
1900-01-01,6.1
