Date,Value
1929-01-01,24.86
1929-01-02,24.81
1929-01-03,24.86
1929-01-04,24.85
1929-01-07,24.25
1929-01-08,24.17
1929-01-09,24.54
1929-01-10,24.58
1929-01-11,24.54
1929-01-14,24.59
1929-01-15,24.23
1929-01-16,24.56
1929-01-17,24.69
1929-01-18,24.77
1929-01-21,24.86
1929-01-22,25.07
1929-01-23,25.22
1929-01-24,25.06
1929-01-25,25.48
1929-01-28,25.35
1929-01-29,25.36
1929-01-30,25.45
1929-01-31,25.74
1929-02-01,25.84
1929-02-04,25.64
1929-02-05,25.70
1929-02-06,25.49
1929-02-07,24.71
1929-02-08,24.44
1929-02-11,24.98
1929-02-13,24.95
1929-02-14,24.85
1929-02-15,24.35
1929-02-18,24.39
1929-02-19,24.38
1929-02-20,24.59
1929-02-21,24.86
1929-02-25,24.91
1929-02-26,24.95
1929-02-27,25.25
1929-02-28,25.59
1929-03-01,25.83
1929-03-04,25.49
1929-03-05,25.32
1929-03-06,24.92
1929-03-07,25.15
1929-03-08,25.31
1929-03-11,24.95
1929-03-12,24.97
1929-03-13,25.24
1929-03-14,25.73
1929-03-15,26.08
1929-03-18,26.04
1929-03-19,26.03
1929-03-20,26.02
1929-03-21,25.90
1929-03-22,25.55
1929-03-25,24.51
1929-03-26,24.35
1929-03-27,25.09
1929-03-28,25.53
1929-04-01,24.88
1929-04-02,25.17
1929-04-03,24.86
1929-04-04,25.30
1929-04-05,25.05
1929-04-08,24.83
1929-04-09,24.63
1929-04-10,24.78
1929-04-11,25.06
1929-04-12,25.15
1929-04-15,25.00
1929-04-16,25.06
1929-04-17,25.32
1929-04-18,25.43
1929-04-19,25.41
1929-04-22,25.70
1929-04-23,25.85
1929-04-24,25.75
1929-04-25,25.63
1929-04-26,25.58
1929-04-29,25.53
1929-04-30,25.94
1929-05-01,25.99
1929-05-02,26.11
1929-05-03,26.37
1929-05-06,26.32
1929-05-07,26.07
1929-05-08,26.18
1929-05-09,26.02
1929-05-10,26.34
1929-05-13,25.64
1929-05-14,25.95
1929-05-15,25.84
1929-05-16,25.97
1929-05-17,26.09
1929-05-20,25.39
1929-05-21,25.70
1929-05-22,24.76
1929-05-23,25.31
1929-05-24,25.12
1929-05-27,24.20
1929-05-28,24.59
1929-05-29,24.62
1929-05-31,24.83
1929-06-01,26.15
1929-06-03,25.27
1929-06-04,25.64
1929-06-05,25.59
1929-06-06,25.64
1929-06-07,25.53
1929-06-10,25.27
1929-06-11,25.43
1929-06-12,25.45
1929-06-13,25.84
1929-06-14,25.93
1929-06-17,26.41
1929-06-18,26.42
1929-06-19,26.32
1929-06-20,26.47
1929-06-21,26.62
1929-06-24,26.62
1929-06-25,26.90
1929-06-26,27.06
1929-06-27,27.11
1929-06-28,27.41
1929-07-01,27.77
1929-07-02,28.06
1929-07-03,28.18
1929-07-05,28.32
1929-07-08,28.37
1929-07-09,28.28
1929-07-10,28.20
1929-07-11,28.26
1929-07-12,28.57
1929-07-15,28.45
1929-07-16,28.65
1929-07-17,28.72
1929-07-18,28.66
1929-07-19,28.76
1929-07-22,28.43
1929-07-23,28.83
1929-07-24,28.64
1929-07-25,28.77
1929-07-26,28.66
1929-07-29,28.18
1929-07-30,28.50
1929-07-31,28.88
1929-08-01,29.08
1929-08-02,29.56
1929-08-05,29.54
1929-08-06,29.43
1929-08-07,29.13
1929-08-08,29.47
1929-08-09,28.38
1929-08-12,29.27
1929-08-13,29.53
1929-08-14,29.62
1929-08-15,29.67
1929-08-16,30.22
1929-08-19,30.50
1929-08-20,30.68
1929-08-21,30.55
1929-08-22,30.79
1929-08-23,31.09
1929-08-26,31.07
1929-08-27,31.05
1929-08-28,30.99
1929-08-29,31.29
1929-08-30,31.71
1929-09-01,31.3
1929-09-03,31.82
1929-09-04,31.72
1929-09-05,31.02
1929-09-06,31.83
1929-09-09,31.67
1929-09-10,31.10
1929-09-11,31.53
1929-09-12,31.17
1929-09-13,31.38
1929-09-16,31.86
1929-09-17,31.60
1929-09-18,31.68
1929-09-19,31.73
1929-09-20,31.39
1929-09-23,31.38
1929-09-24,30.80
1929-09-25,30.85
1929-09-26,31.13
1929-09-27,30.27
1929-09-30,30.16
1929-10-01,29.98
1929-10-02,30.20
1929-10-03,28.95
1929-10-04,28.65
1929-10-07,30.44
1929-10-08,30.34
1929-10-09,30.27
1929-10-10,30.81
1929-10-11,30.76
1929-10-14,30.55
1929-10-15,30.30
1929-10-16,29.24
1929-10-17,29.69
1929-10-18,28.84
1929-10-21,27.73
1929-10-22,28.27
1929-10-23,26.60
1929-10-24,25.75
1929-10-25,26.12
1929-10-28,22.74
1929-10-29,20.43
1929-10-30,22.99
1929-10-31,24.15
1929-11-01,20.58
1929-11-04,22.88
1929-11-06,20.61
1929-11-07,21.37
1929-11-08,21.18
1929-11-11,19.86
1929-11-12,18.73
1929-11-13,17.66
1929-11-14,19.24
1929-11-15,20.30
1929-11-18,20.09
1929-11-19,20.70
1929-11-20,21.27
1929-11-21,21.61
1929-11-22,21.53
1929-11-25,21.28
1929-11-26,20.66
1929-11-27,20.92
1929-12-01,21.4
1929-12-02,20.95
1929-12-03,21.65
1929-12-04,22.05
1929-12-05,21.87
1929-12-06,22.45
1929-12-09,22.40
1929-12-10,22.57
1929-12-11,22.38
1929-12-12,21.17
1929-12-13,21.70
1929-12-16,21.33
1929-12-17,21.56
1929-12-18,21.42
1929-12-19,20.85
1929-12-20,20.16
1929-12-23,20.26
1929-12-24,20.39
1929-12-26,20.84
1929-12-27,20.82
1929-12-30,20.89
1929-12-31,21.45
